Code,lichaamslocalisatie,pathologie
2578,Inwendige organen thorax,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
2579,Inwendige organen thorax,Psychomotore retardatie / ontwikkelingsstoornissen
2580,Inwendige organen thorax,Symptomatologie (nog zonder aanwijsbare pathologie)
2581,Inwendige organen thorax,Psychosomatische aandoeningen
2582,Inwendige organen thorax,Hyperventilatie zonder longpathologie
2583,Inwendige organen thorax,Proctologie
2584,Inwendige organen thorax,"M.D.L. (Maag, Darm, Lever)"
2585,Inwendige organen thorax,Seksuologie
2586,Inwendige organen thorax,"Urine incontinentie, incontinentie urinae"
2587,Inwendige organen thorax,"Fecale incontinentie, incontinentie alvi"
2588,Inwendige organen thorax,Urologie
2589,Inwendige organen thorax,Gynaecologie
2590,Inwendige organen thorax,"Reumatoïde arthritis, chronische reuma"
2591,Inwendige organen thorax,Juveniel reuma
2592,Inwendige organen thorax,(Poly-) arthritis
2593,Inwendige organen thorax,Spondylitis ankylopoetica / ankylose
2594,Inwendige organen thorax,Overige reumatische- en collageenaandoeningen 
2595,Inwendige organen thorax,Littekenweefsel
2596,Inwendige organen thorax,Sclerodermie
2597,Inwendige organen thorax,Psoriasis
2598,Inwendige organen thorax,Hyperhydrosis
2599,Inwendige organen thorax,Overige huidaandoeningen
2600,Inwendige organen abdomen,Amputatie
2601,Inwendige organen abdomen,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
2602,Inwendige organen abdomen,"Botten, uitgezonderd wervelkolom"
2603,Inwendige organen abdomen,"Meniscectomie, synovectomie"
2604,Inwendige organen abdomen,"Pees, spier, ligament"
2605,Inwendige organen abdomen,Wervelkolom
2606,Inwendige organen abdomen,Verwijderde osteosynthese materiaal
2608,Inwendige organen abdomen,Postoperatieve contractuur / atrofie
2609,Inwendige organen abdomen,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
2610,Inwendige organen abdomen,Aseptische botnecrose
2611,Inwendige organen abdomen,Afwijkingen wervelkolom / bekken
2612,Inwendige organen abdomen,Skeletafwijkingen (aangeboren)
2613,Inwendige organen abdomen,Ossificatiestoornis
2614,Inwendige organen abdomen,Ontstekingen / nieuwvormingen in het skelet
2615,Inwendige organen abdomen,Pseudo-arthrose / epiphysiolysis / apofysitiden
2616,Inwendige organen abdomen,Standsafwijkingen extremiteiten
2617,Inwendige organen abdomen,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
2618,Inwendige organen abdomen,Overige orthopedische aandoeningen zonder chirurgie
2619,Inwendige organen abdomen,Dupuytren
2620,Inwendige organen abdomen,Epicondylitis / tendinitis / tendovaginitis
2621,Inwendige organen abdomen,Bursitis (niet traumatisch) / capsulitis
2622,Inwendige organen abdomen,Chondropathie / arthropathie / meniscuslaesie
2623,Inwendige organen abdomen,Arthrose
2624,Inwendige organen abdomen,Osteoporose
2625,Inwendige organen abdomen,Syndroom van Costen
2626,Inwendige organen abdomen,"Spier-, pees- en fascie aandoeningen"
2627,Inwendige organen abdomen,"Discusdegeneratie, coccygodynie / HNP"
2628,Inwendige organen abdomen,Sudeckse a(dys)trofie
2631,Inwendige organen abdomen,Gewrichtcontusie / -distorsie
2632,Inwendige organen abdomen,Luxatie (sub-)
2633,Inwendige organen abdomen,"Spier-, peesruptuur / haematoom"
2634,Inwendige organen abdomen,Hydrops / haemarthos / haematoom
2635,Inwendige organen abdomen,Myositis ossificans / adhaesies / traumatische bursitis
2636,Inwendige organen abdomen,Fracturen
2637,Inwendige organen abdomen,Onbekend
2638,Inwendige organen abdomen,Whiplash injury (nektrauma)
2639,Inwendige organen abdomen,Status na brandwonden
2640,Inwendige organen abdomen,Hartaandoeningen (niet genoemd onder 41 t/m 49)
2641,Inwendige organen abdomen,Myocard-infarct (AMI)
2642,Inwendige organen abdomen,Status na coronary artery bypassoperatie (CABG)
2643,Inwendige organen abdomen,Status na percutane transluminale coronair angioplastiek (PTCA)
2644,Inwendige organen abdomen,Status na hartklepoperatie
2645,Inwendige organen abdomen,Status na operatief gecorrigeerde congenitale afwijkingen
2646,Inwendige organen abdomen,Lymfevataandoeningen / oedeem
2647,Inwendige organen abdomen,Ulcus / decubitus / necrose
2648,Inwendige organen abdomen,"Algemeen vaatlijden, circulatiestoornissen"
2649,Inwendige organen abdomen,Onbekend
2650,Inwendige organen abdomen,Cara
2651,Inwendige organen abdomen,Aangeboren afwijkingen tractus respiratorius
2652,Inwendige organen abdomen,Pneumothorax / longoedeem
2653,Inwendige organen abdomen,Luchtweginfecties
2654,Inwendige organen abdomen,COPD
2655,Inwendige organen abdomen,Emfyseem
2656,Inwendige organen abdomen,Interstitiële longaandoeningen incl. sarcoïdose
2660,Inwendige organen abdomen,Diabetes mellitus
2661,Inwendige organen abdomen,Immuniteitsstoornissen
2662,Inwendige organen abdomen,Spastisch colon
2664,Inwendige organen abdomen,Adipositas
2665,Inwendige organen abdomen,"Overige-, erfelijke aandoeningen"
2668,Inwendige organen abdomen,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
2669,Inwendige organen abdomen,Nieuwvormingen zonder chirurgie
2670,Inwendige organen abdomen,Perifere zenuwaandoening
2671,Inwendige organen abdomen,Cerebellaire aandoeningen / encephalopathieën
2672,Inwendige organen abdomen,Cerebrovasculair accident / centrale parese
2673,Inwendige organen abdomen,Multiple sclerose / ALS/ spinale spieratrofie
2674,Inwendige organen abdomen,Parkinson / extrapyramidale aandoening
2675,Inwendige organen abdomen,HNP met radiculair syndroom
2676,Inwendige organen abdomen,Dwarslaesie (incl. traumatisch en partieel)
2677,Inwendige organen abdomen,Neurotraumata
2678,Inwendige organen abdomen,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
2679,Inwendige organen abdomen,Psychomotore retardatie / ontwikkelingsstoornissen
2680,Inwendige organen abdomen,Symptomatologie (nog zonder aanwijsbare pathologie)
2681,Inwendige organen abdomen,Psychosomatische aandoeningen
2682,Inwendige organen abdomen,Hyperventilatie zonder longpathologie
2683,Inwendige organen abdomen,Proctologie
2684,Inwendige organen abdomen,"M.D.L. (Maag, Darm, Lever)"
2685,Inwendige organen abdomen,Seksuologie
2686,Inwendige organen abdomen,"Urine incontinentie, incontinentie urinae"
2687,Inwendige organen abdomen,"Fecale incontinentie, incontinentie alvi"
2688,Inwendige organen abdomen,Urologie
2689,Inwendige organen abdomen,Gynaecologie
2690,Inwendige organen abdomen,"Reumatoïde arthritis, chronische reuma"
2691,Inwendige organen abdomen,Juveniel reuma
2692,Inwendige organen abdomen,(Poly-) arthritis
2693,Inwendige organen abdomen,Spondylitis ankylopoetica / ankylose
2694,Inwendige organen abdomen,Overige reumatische- en collageenaandoeningen 
2695,Inwendige organen abdomen,Littekenweefsel
2696,Inwendige organen abdomen,Sclerodermie
2697,Inwendige organen abdomen,Psoriasis
2698,Inwendige organen abdomen,Hyperhydrosis
2699,Inwendige organen abdomen,Overige huidaandoeningen
2900,Gecombineerd ** Thorax/ Buik/ Organen,Amputatie
2901,Gecombineerd ** Thorax/ Buik/ Organen,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
2902,Gecombineerd ** Thorax/ Buik/ Organen,"Botten, uitgezonderd wervelkolom"
2903,Gecombineerd ** Thorax/ Buik/ Organen,"Meniscectomie, synovectomie"
2904,Gecombineerd ** Thorax/ Buik/ Organen,"Pees, spier, ligament"
2905,Gecombineerd ** Thorax/ Buik/ Organen,Wervelkolom
2906,Gecombineerd ** Thorax/ Buik/ Organen,Verwijderde osteosynthese materiaal
2908,Gecombineerd ** Thorax/ Buik/ Organen,Postoperatieve contractuur / atrofie
2909,Gecombineerd ** Thorax/ Buik/ Organen,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
2910,Gecombineerd ** Thorax/ Buik/ Organen,Aseptische botnecrose
2911,Gecombineerd ** Thorax/ Buik/ Organen,Afwijkingen wervelkolom / bekken
2912,Gecombineerd ** Thorax/ Buik/ Organen,Skeletafwijkingen (aangeboren)
2913,Gecombineerd ** Thorax/ Buik/ Organen,Ossificatiestoornis
2914,Gecombineerd ** Thorax/ Buik/ Organen,Ontstekingen / nieuwvormingen in het skelet
2915,Gecombineerd ** Thorax/ Buik/ Organen,Pseudo-arthrose / epiphysiolysis / apofysitiden
2916,Gecombineerd ** Thorax/ Buik/ Organen,Standsafwijkingen extremiteiten
2917,Gecombineerd ** Thorax/ Buik/ Organen,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
2918,Gecombineerd ** Thorax/ Buik/ Organen,Overige orthopedische aandoeningen zonder chirurgie
2919,Gecombineerd ** Thorax/ Buik/ Organen,Dupuytren
2920,Gecombineerd ** Thorax/ Buik/ Organen,Epicondylitis / tendinitis / tendovaginitis
2921,Gecombineerd ** Thorax/ Buik/ Organen,Bursitis (niet traumatisch) / capsulitis
2922,Gecombineerd ** Thorax/ Buik/ Organen,Chondropathie / arthropathie / meniscuslaesie
2923,Gecombineerd ** Thorax/ Buik/ Organen,Arthrose
2924,Gecombineerd ** Thorax/ Buik/ Organen,Osteoporose
2925,Gecombineerd ** Thorax/ Buik/ Organen,Syndroom van Costen
2926,Gecombineerd ** Thorax/ Buik/ Organen,"Spier-, pees- en fascie aandoeningen"
2927,Gecombineerd ** Thorax/ Buik/ Organen,"Discusdegeneratie, coccygodynie / HNP"
2928,Gecombineerd ** Thorax/ Buik/ Organen,Sudeckse a(dys)trofie
2931,Gecombineerd ** Thorax/ Buik/ Organen,Gewrichtcontusie / -distorsie
2932,Gecombineerd ** Thorax/ Buik/ Organen,Luxatie (sub-)
2933,Gecombineerd ** Thorax/ Buik/ Organen,"Spier-, peesruptuur / haematoom"
2934,Gecombineerd ** Thorax/ Buik/ Organen,Hydrops / haemarthos / haematoom
2935,Gecombineerd ** Thorax/ Buik/ Organen,Myositis ossificans / adhaesies / traumatische bursitis
2936,Gecombineerd ** Thorax/ Buik/ Organen,Fracturen
2937,Gecombineerd ** Thorax/ Buik/ Organen,Onbekend
2938,Gecombineerd ** Thorax/ Buik/ Organen,Whiplash injury (nektrauma)
2939,Gecombineerd ** Thorax/ Buik/ Organen,Status na brandwonden
2940,Gecombineerd ** Thorax/ Buik/ Organen,Hartaandoeningen (niet genoemd onder 41 t/m 49)
2941,Gecombineerd ** Thorax/ Buik/ Organen,Myocard-infarct (AMI)
2942,Gecombineerd ** Thorax/ Buik/ Organen,Status na coronary artery bypassoperatie (CABG)
2943,Gecombineerd ** Thorax/ Buik/ Organen,Status na percutane transluminale coronair angioplastiek (PTCA)
2944,Gecombineerd ** Thorax/ Buik/ Organen,Status na hartklepoperatie
2945,Gecombineerd ** Thorax/ Buik/ Organen,Status na operatief gecorrigeerde congenitale afwijkingen
2946,Gecombineerd ** Thorax/ Buik/ Organen,Lymfevataandoeningen / oedeem
2947,Gecombineerd ** Thorax/ Buik/ Organen,Ulcus / decubitus / necrose
2948,Gecombineerd ** Thorax/ Buik/ Organen,"Algemeen vaatlijden, circulatiestoornissen"
2949,Gecombineerd ** Thorax/ Buik/ Organen,Onbekend
2950,Gecombineerd ** Thorax/ Buik/ Organen,Cara
2951,Gecombineerd ** Thorax/ Buik/ Organen,Aangeboren afwijkingen tractus respiratorius
2952,Gecombineerd ** Thorax/ Buik/ Organen,Pneumothorax / longoedeem
2953,Gecombineerd ** Thorax/ Buik/ Organen,Luchtweginfecties
2954,Gecombineerd ** Thorax/ Buik/ Organen,COPD
2955,Gecombineerd ** Thorax/ Buik/ Organen,Emfyseem
2956,Gecombineerd ** Thorax/ Buik/ Organen,Interstitiële longaandoeningen incl. sarcoïdose
2960,Gecombineerd ** Thorax/ Buik/ Organen,Diabetes mellitus
2961,Gecombineerd ** Thorax/ Buik/ Organen,Immuniteitsstoornissen
2962,Gecombineerd ** Thorax/ Buik/ Organen,Spastisch colon
2964,Gecombineerd ** Thorax/ Buik/ Organen,Adipositas
2965,Gecombineerd ** Thorax/ Buik/ Organen,"Overige-, erfelijke aandoeningen"
2968,Gecombineerd ** Thorax/ Buik/ Organen,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
2969,Gecombineerd ** Thorax/ Buik/ Organen,Nieuwvormingen zonder chirurgie
2970,Gecombineerd ** Thorax/ Buik/ Organen,Perifere zenuwaandoening
2971,Gecombineerd ** Thorax/ Buik/ Organen,Cerebellaire aandoeningen / encephalopathieën
2972,Gecombineerd ** Thorax/ Buik/ Organen,Cerebrovasculair accident / centrale parese
2973,Gecombineerd ** Thorax/ Buik/ Organen,Multiple sclerose / ALS/ spinale spieratrofie
2974,Gecombineerd ** Thorax/ Buik/ Organen,Parkinson / extrapyramidale aandoening
2975,Gecombineerd ** Thorax/ Buik/ Organen,HNP met radiculair syndroom
2976,Gecombineerd ** Thorax/ Buik/ Organen,Dwarslaesie (incl. traumatisch en partieel)
2977,Gecombineerd ** Thorax/ Buik/ Organen,Neurotraumata
2978,Gecombineerd ** Thorax/ Buik/ Organen,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
2979,Gecombineerd ** Thorax/ Buik/ Organen,Psychomotore retardatie / ontwikkelingsstoornissen
2980,Gecombineerd ** Thorax/ Buik/ Organen,Symptomatologie (nog zonder aanwijsbare pathologie)
2981,Gecombineerd ** Thorax/ Buik/ Organen,Psychosomatische aandoeningen
2982,Gecombineerd ** Thorax/ Buik/ Organen,Hyperventilatie zonder longpathologie
2983,Gecombineerd ** Thorax/ Buik/ Organen,Proctologie
2984,Gecombineerd ** Thorax/ Buik/ Organen,"M.D.L. (Maag, Darm, Lever)"
2985,Gecombineerd ** Thorax/ Buik/ Organen,Seksuologie
2986,Gecombineerd ** Thorax/ Buik/ Organen,"Urine incontinentie, incontinentie urinae"
2987,Gecombineerd ** Thorax/ Buik/ Organen,"Fecale incontinentie, incontinentie alvi"
2988,Gecombineerd ** Thorax/ Buik/ Organen,Urologie
2989,Gecombineerd ** Thorax/ Buik/ Organen,Gynaecologie
2990,Gecombineerd ** Thorax/ Buik/ Organen,"Reumatoïde arthritis, chronische reuma"
2991,Gecombineerd ** Thorax/ Buik/ Organen,Juveniel reuma
2992,Gecombineerd ** Thorax/ Buik/ Organen,(Poly-) arthritis
2993,Gecombineerd ** Thorax/ Buik/ Organen,Spondylitis ankylopoetica / ankylose
2994,Gecombineerd ** Thorax/ Buik/ Organen,Overige reumatische- en collageenaandoeningen 
2995,Gecombineerd ** Thorax/ Buik/ Organen,Littekenweefsel
2996,Gecombineerd ** Thorax/ Buik/ Organen,Sclerodermie
2997,Gecombineerd ** Thorax/ Buik/ Organen,Psoriasis
2998,Gecombineerd ** Thorax/ Buik/ Organen,Hyperhydrosis
2999,Gecombineerd ** Thorax/ Buik/ Organen,Overige huidaandoeningen
3000,Cervicale wervelkolom,Amputatie
3001,Cervicale wervelkolom,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
3002,Cervicale wervelkolom,"Botten, uitgezonderd wervelkolom"
3003,Cervicale wervelkolom,"Meniscectomie, synovectomie"
3004,Cervicale wervelkolom,"Pees, spier, ligament"
3005,Cervicale wervelkolom,Wervelkolom
3006,Cervicale wervelkolom,Verwijderde osteosynthese materiaal
3008,Cervicale wervelkolom,Postoperatieve contractuur / atrofie
3009,Cervicale wervelkolom,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
3010,Cervicale wervelkolom,Aseptische botnecrose
3011,Cervicale wervelkolom,Afwijkingen wervelkolom / bekken
3012,Cervicale wervelkolom,Skeletafwijkingen (aangeboren)
3013,Cervicale wervelkolom,Ossificatiestoornis
3014,Cervicale wervelkolom,Ontstekingen / nieuwvormingen in het skelet
3015,Cervicale wervelkolom,Pseudo-arthrose / epiphysiolysis / apofysitiden
3016,Cervicale wervelkolom,Standsafwijkingen extremiteiten
3017,Cervicale wervelkolom,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
3018,Cervicale wervelkolom,Overige orthopedische aandoeningen zonder chirurgie
3019,Cervicale wervelkolom,Dupuytren
3020,Cervicale wervelkolom,Epicondylitis / tendinitis / tendovaginitis
3021,Cervicale wervelkolom,Bursitis (niet traumatisch) / capsulitis
3022,Cervicale wervelkolom,Chondropathie / arthropathie / meniscuslaesie
3023,Cervicale wervelkolom,Artrose
3024,Cervicale wervelkolom,Osteoporose
3025,Cervicale wervelkolom,Syndroom van Costen
3026,Cervicale wervelkolom,"Spier-, pees- en fascie aandoeningen"
3027,Cervicale wervelkolom,"Discusdegeneratie, coccygodynie / HNP"
3028,Cervicale wervelkolom,Sudeckse a(dys)trofie
3031,Cervicale wervelkolom,Gewrichtcontusie / -distorsie
3032,Cervicale wervelkolom,Luxatie (sub-)
3033,Cervicale wervelkolom,"Spier-, peesruptuur / haematoom"
3034,Cervicale wervelkolom,Hydrops / haemarthos / haematoom
3035,Cervicale wervelkolom,Myositis ossificans / adhaesies / traumatische bursitis
3036,Cervicale wervelkolom,Fracturen
3037,Cervicale wervelkolom,Onbekend
3038,Cervicale wervelkolom,Whiplash injury (nektrauma)
3039,Cervicale wervelkolom,Status na brandwonden
3040,Cervicale wervelkolom,Hartaandoeningen (niet genoemd onder 41 t/m 49)
3041,Cervicale wervelkolom,Myocard-infarct (AMI)
3042,Cervicale wervelkolom,Status na coronary artery bypassoperatie (CABG)
3043,Cervicale wervelkolom,Status na percutane transluminale coronair angioplastiek (PTCA)
3044,Cervicale wervelkolom,Status na hartklepoperatie
3045,Cervicale wervelkolom,Status na operatief gecorrigeerde congenitale afwijkingen
3046,Cervicale wervelkolom,Lymfevataandoeningen / oedeem
3047,Cervicale wervelkolom,Ulcus / decubitus / necrose
3048,Cervicale wervelkolom,"Algemeen vaatlijden, circulatiestoornissen"
3049,Cervicale wervelkolom,Onbekend
3050,Cervicale wervelkolom,Cara
3051,Cervicale wervelkolom,Aangeboren afwijkingen tractus respiratorius
3052,Cervicale wervelkolom,Pneumothorax / longoedeem
3053,Cervicale wervelkolom,Luchtweginfecties
3054,Cervicale wervelkolom,COPD
3055,Cervicale wervelkolom,Emfyseem
3056,Cervicale wervelkolom,Interstitiële longaandoeningen incl. sarcoïdose
3060,Cervicale wervelkolom,Diabetes mellitus
3061,Cervicale wervelkolom,Immuniteitsstoornissen
3062,Cervicale wervelkolom,Spastisch colon
3064,Cervicale wervelkolom,Adipositas
3065,Cervicale wervelkolom,"Overige-, erfelijke aandoeningen"
3068,Cervicale wervelkolom,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
3069,Cervicale wervelkolom,Nieuwvormingen zonder chirurgie
3070,Cervicale wervelkolom,
,,
3071,Cervicale wervelkolom,Cerebellaire aandoeningen / encephalopathieën
3072,Cervicale wervelkolom,Cerebrovasculair accident / centrale parese
3073,Cervicale wervelkolom,Multiple sclerose / ALS/ spinale spieratrofie
3074,Cervicale wervelkolom,Parkinson / extrapyramidale aandoening
3075,Cervicale wervelkolom,HNP met radiculair syndroom
3076,Cervicale wervelkolom,Dwarslaesie (incl. traumatisch en partieel)
3077,Cervicale wervelkolom,Neurotraumata
3078,Cervicale wervelkolom,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
3079,Cervicale wervelkolom,Psychomotore retardatie / ontwikkelingsstoornissen
3080,Cervicale wervelkolom,Symptomatologie (nog zonder aanwijsbare pathologie)
3081,Cervicale wervelkolom,Psychosomatische aandoeningen
3082,Cervicale wervelkolom,Hyperventilatie zonder longpathologie
3083,Cervicale wervelkolom,Proctologie
3084,Cervicale wervelkolom,"M.D.L. (Maag, Darm, Lever)"
3085,Cervicale wervelkolom,Seksuologie
3086,Cervicale wervelkolom,"Urine incontinentie, incontinentie urinae"
3087,Cervicale wervelkolom,"Fecale incontinentie, incontinentie alvi"
3088,Cervicale wervelkolom,Urologie
3089,Cervicale wervelkolom,Gynaecologie
3090,Cervicale wervelkolom,"Reumatoïde arthritis, chronische reuma"
3091,Cervicale wervelkolom,Juveniel reuma
3092,Cervicale wervelkolom,(Poly-) arthritis
3093,Cervicale wervelkolom,Spondylitis ankylopoetica / ankylose
3094,Cervicale wervelkolom,Overige reumatische- en collageenaandoeningen 
3095,Cervicale wervelkolom,Littekenweefsel
3096,Cervicale wervelkolom,Sclerodermie
3097,Cervicale wervelkolom,Psoriasis
3098,Cervicale wervelkolom,Hyperhydrosis
3099,Cervicale wervelkolom,Overige huidaandoeningen
3100,Cervico-thoracale wervelkolom,Amputatie
3101,Cervico-thoracale wervelkolom,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
3102,Cervico-thoracale wervelkolom,"Botten, uitgezonderd wervelkolom"
3103,Cervico-thoracale wervelkolom,"Meniscectomie, synovectomie"
3104,Cervico-thoracale wervelkolom,"Pees, spier, ligament"
3105,Cervico-thoracale wervelkolom,Wervelkolom
3106,Cervico-thoracale wervelkolom,Verwijderde osteosynthese materiaal
3108,Cervico-thoracale wervelkolom,Postoperatieve contractuur / atrofie
3109,Cervico-thoracale wervelkolom,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
3110,Cervico-thoracale wervelkolom,Aseptische botnecrose
3111,Cervico-thoracale wervelkolom,Afwijkingen wervelkolom / bekken
3112,Cervico-thoracale wervelkolom,Skeletafwijkingen (aangeboren)
3113,Cervico-thoracale wervelkolom,Ossificatiestoornis
3114,Cervico-thoracale wervelkolom,Ontstekingen / nieuwvormingen in het skelet
3115,Cervico-thoracale wervelkolom,Pseudo-arthrose / epiphysiolysis / apofysitiden
3116,Cervico-thoracale wervelkolom,Standsafwijkingen extremiteiten
3117,Cervico-thoracale wervelkolom,"Afwijkingen gewrichten, uitgezonderd wervelkolom / bekken"
3118,Cervico-thoracale wervelkolom,Overige orthopedische aandoeningen zonder chirurgie
3119,Cervico-thoracale wervelkolom,Dupuytren
3120,Cervico-thoracale wervelkolom,Epicondylitis / tendinitis / tendovaginitis
3121,Cervico-thoracale wervelkolom,Bursitis (niet traumatisch) / capsulitis
3122,Cervico-thoracale wervelkolom,Chondropathie / arthropathie / meniscuslaesie
3123,Cervico-thoracale wervelkolom,Artrose
3124,Cervico-thoracale wervelkolom,Osteoporose
3125,Cervico-thoracale wervelkolom,Syndroom van Costen
3126,Cervico-thoracale wervelkolom,"Spier-, pees- en fascie aandoeningen"
3127,Cervico-thoracale wervelkolom,"Discusdegeneratie, coccygodynie / HNP"
3128,Cervico-thoracale wervelkolom,Sudeckse a(dys)trofie
3131,Cervico-thoracale wervelkolom,Gewrichtcontusie / -distorsie
3132,Cervico-thoracale wervelkolom,Luxatie (sub-)
3133,Cervico-thoracale wervelkolom,"Spier-, peesruptuur / haematoom"
3134,Cervico-thoracale wervelkolom,Hydrops / haemarthos / haematoom
3135,Cervico-thoracale wervelkolom,Myositis ossificans / adhaesies / traumatische bursitis
3136,Cervico-thoracale wervelkolom,Fracturen
3137,Cervico-thoracale wervelkolom,Onbekend
3138,Cervico-thoracale wervelkolom,Whiplash injury (nektrauma)
3139,Cervico-thoracale wervelkolom,Status na brandwonden
3140,Cervico-thoracale wervelkolom,Hartaandoeningen (niet genoemd onder 41 t/m 49)
3141,Cervico-thoracale wervelkolom,Myocard-infarct (AMI)
3142,Cervico-thoracale wervelkolom,Status na coronary artery bypassoperatie (CABG)
3143,Cervico-thoracale wervelkolom,Status na percutane transluminale coronair angioplastiek (PTCA)
3144,Cervico-thoracale wervelkolom,Status na hartklepoperatie
3145,Cervico-thoracale wervelkolom,Status na operatief gecorrigeerde congenitale afwijkingen
3146,Cervico-thoracale wervelkolom,Lymfevataandoeningen / oedeem
3147,Cervico-thoracale wervelkolom,Ulcus / decubitus / necrose
3148,Cervico-thoracale wervelkolom,"Algemeen vaatlijden, circulatiestoornissen"
3149,Cervico-thoracale wervelkolom,Onbekend
3150,Cervico-thoracale wervelkolom,Cara
3151,Cervico-thoracale wervelkolom,Aangeboren afwijkingen tractus respiratorius
3152,Cervico-thoracale wervelkolom,Pneumothorax / longoedeem
3153,Cervico-thoracale wervelkolom,Luchtweginfecties
3154,Cervico-thoracale wervelkolom,COPD
3155,Cervico-thoracale wervelkolom,Emfyseem
3156,Cervico-thoracale wervelkolom,Interstitiële longaandoeningen incl. sarcoïdose
3160,Cervico-thoracale wervelkolom,Diabetes mellitus
3161,Cervico-thoracale wervelkolom,Immuniteitsstoornissen
3162,Cervico-thoracale wervelkolom,Spastisch colon
3164,Cervico-thoracale wervelkolom,Adipositas
3165,Cervico-thoracale wervelkolom,"Overige-, erfelijke aandoeningen"
3168,Cervico-thoracale wervelkolom,Chirurgie niet bewegingsapparaat (niet cardiochirurgie)
3169,Cervico-thoracale wervelkolom,Nieuwvormingen zonder chirurgie
3170,Cervico-thoracale wervelkolom,Perifere zenuwaandoening
3171,Cervico-thoracale wervelkolom,Cerebellaire aandoeningen / encephalopathieën
3172,Cervico-thoracale wervelkolom,Cerebrovasculair accident / centrale parese
3173,Cervico-thoracale wervelkolom,Multiple sclerose / ALS/ spinale spieratrofie
3174,Cervico-thoracale wervelkolom,Parkinson / extrapyramidale aandoening
3175,Cervico-thoracale wervelkolom,HNP met radiculair syndroom
3176,Cervico-thoracale wervelkolom,Dwarslaesie (incl. traumatisch en partieel)
3177,Cervico-thoracale wervelkolom,Neurotraumata
3178,Cervico-thoracale wervelkolom,Overige neurologische aandoeningen / neuropathieën /ziekten van neurologische oorsprong
3179,Cervico-thoracale wervelkolom,Psychomotore retardatie / ontwikkelingsstoornissen
3180,Cervico-thoracale wervelkolom,Symptomatologie (nog zonder aanwijsbare pathologie)
3181,Cervico-thoracale wervelkolom,Psychosomatische aandoeningen
3182,Cervico-thoracale wervelkolom,Hyperventilatie zonder longpathologie
3183,Cervico-thoracale wervelkolom,Proctologie
3184,Cervico-thoracale wervelkolom,"M.D.L. (Maag, Darm, Lever)"
3185,Cervico-thoracale wervelkolom,Seksuologie
3186,Cervico-thoracale wervelkolom,"Urine incontinentie, incontinentie urinae"
3187,Cervico-thoracale wervelkolom,"Fecale incontinentie, incontinentie alvi"
3188,Cervico-thoracale wervelkolom,Urologie
3189,Cervico-thoracale wervelkolom,Gynaecologie
3190,Cervico-thoracale wervelkolom,"Reumatoïde arthritis, chronische reuma"
3191,Cervico-thoracale wervelkolom,Juveniel reuma
3192,Cervico-thoracale wervelkolom,(Poly-) arthritis
3193,Cervico-thoracale wervelkolom,Spondylitis ankylopoetica / ankylose
3194,Cervico-thoracale wervelkolom,Overige reumatische- en collageenaandoeningen 
3195,Cervico-thoracale wervelkolom,Littekenweefsel
3196,Cervico-thoracale wervelkolom,Sclerodermie
3197,Cervico-thoracale wervelkolom,Psoriasis
3198,Cervico-thoracale wervelkolom,Hyperhydrosis
3199,Cervico-thoracale wervelkolom,Overige huidaandoeningen
3200,Thoracale wervelkolom,Amputatie
3201,Thoracale wervelkolom,"Gewrichten, uitgezonderd wervelkolom, meniscectomie, synovectomie"
3202,Thoracale wervelkolom,"Botten, uitgezonderd wervelkolom"
3203,Thoracale wervelkolom,"Meniscectomie, synovectomie"
3204,Thoracale wervelkolom,"Pees, spier, ligament"
3205,Thoracale wervelkolom,Wervelkolom
3206,Thoracale wervelkolom,Verwijderde osteosynthese materiaal
3208,Thoracale wervelkolom,Postoperatieve contractuur / atrofie
3209,Thoracale wervelkolom,Overige chirurgie van het bewegingsapparaat (incl. nieuwvormingen)
3210,Thoracale wervelkolom,Aseptische botnecrose
3211,Thoracale wervelkolom,Afwijkingen wervelkolom / bekken
3212,Thoracale wervelkolom,Skeletafwijkingen (aangeboren)
3213,Thoracale wervelkolom,Ossificatiestoornis
3214,Thoracale wervelkolom,Ontstekingen / nieuwvormingen in het skelet
3215,Thoracale wervelkolom,Pseudo-arthrose / epiphysiolysis / apofysitiden
3216,Thoracale wervelkolom,Standsafwijkingen extremiteiten
